x,y,group
4.32835820895522,5.1875,A
4.61442786069652,5.8125,A
4.83830845771144,4.375,A
4.56467661691542,3.6875,A
5.14925373134328,5.0625,A
5.08706467661692,6.71875,A
5.4726368159204,7.5625,A
6.26865671641791,7.9375,A
6.7910447761194,9.09375,A
7.5,9.0625,A
8.23383084577115,9.375,A
8.88059701492537,8.53125,A
9.2910447761194,8.46875,A
9.7636815920398,6.8125,A
9.66417910447761,6.96875,A
10.1741293532338,6.84375,A
10.6592039800995,5.25,A
10.547263681592,3.875,A
10.3233830845771,2.46875,A
9.95024875621891,1.84375,A
10.0497512437811,3.40625,A
10.1741293532338,4.46875,A
9.80099502487562,5.1875,A
9.1044776119403,5.875,A
9.01741293532339,7.09375,A
8.60696517412935,7,A
8.12189054726368,7.84375,A
7.88557213930348,7.9375,A
7.37562189054727,7.90625,A
6.80348258706468,7.40625,A
7.10199004975124,6.90625,A
6.11940298507463,6.53125,A
5.7089552238806,6.1875,A
5.85820895522388,5.375,A
5.50995024875622,4.65625,A
5.77114427860697,4.375,A
5.63432835820896,3.84375,A
5.6592039800995,3.03125,A
5.4726368159204,3.1875,A
5.14925373134328,3.375,A
5.0497512437811,2.28125,A
5.69651741293532,1.59375,A
5.77114427860697,1.375,A
6.06965174129353,2.40625,A
6.08208955223881,4.125,A
6.28109452736318,4.875,A
6.50497512437811,5.84375,A
6.91542288557214,5.96875,A
7.28855721393035,4.96875,A
7.7363184079602,6.34375,A
7.91044776119403,4.84375,A
8.30845771144279,5.84375,A
8.37064676616916,4.46875,A
8.69402985074627,5.0625,A
8.93034825870647,3.9375,A
9.42786069651741,3.96875,A
9.49004975124378,2.9375,A
9.45273631840796,1.71875,A
9.06716417910448,2.34375,A
8.75621890547264,3.03125,A
8.29601990049751,3.4375,A
7.87313432835821,3.28125,A
7.43781094527363,3.75,A
7.46268656716418,3.09375,A
7.0273631840796,3.3125,A
6.99004975124378,4.09375,A
6.8407960199005,3.9375,A
6.72885572139304,4.40625,A
6.44278606965174,3.8125,A
6.69154228855721,3,A
6.51741293532338,1.84375,A
6.25621890547264,0.562500000000002,A
6.66666666666667,0.781250000000002,A
6.85323383084577,-0.03125,A
7.25124378109453,0.781250000000002,A
7.43781094527363,-0.0625,A
7.57462686567164,0.812500000000002,A
7.25124378109453,2.15625,A
7.51243781094527,2.21875,A
7.83582089552239,2.40625,A
7.96019900497513,0.875000000000002,A
8.17164179104478,1.03125,A
8.27114427860697,1.71875,A
8.12189054726368,-0.09375,A
8.6318407960199,0.968750000000002,A
8.70646766169154,1.84375,A
0.584577114427861,4.46875,B
1.06965174129353,4.46875,B
1.48009950248756,4.4375,B
1.89054726368159,4.4375,B
1.99004975124378,3.78125,B
1.76616915422886,3.78125,B
2.16417910447761,2.75,B
1.90298507462687,2.84375,B
2.18905472636816,1.84375,B
1.90298507462687,1.875,B
2.0273631840796,1.21875,B
1.66666666666667,1.0625,B
1.45522388059702,1.625,B
1.45522388059702,2.625,B
1.39303482587065,3.34375,B
0.932835820895523,3.0625,B
1.08208955223881,4.03125,B
1.48009950248756,4,B
0.783582089552239,4,B
0.509950248756219,3.5625,B
0.261194029850746,3.6875,B
0.485074626865672,2.84375,B
0.223880597014925,3.09375,B
0.0497512437810946,2.3125,B
0.261194029850746,1.5625,B
0.323383084577114,0.843750000000002,B
0.572139303482587,1.53125,B
0.634328358208955,0.843750000000002,B
0.634328358208955,2.3125,B
1.04477611940299,1.625,B
1.11940298507463,2.1875,B
1.29353233830846,0.687500000000002,B
